Product Name,Product Type,Price,Rating,Reviews
Basic | Velvet Liquid Lipstick,Lip Kits,$16.00,4.5 star rating,107 Reviews
Low Key | Velvet Liquid Lipstick,Lip Kits,$16.00,4.7 star rating,57 Reviews
Savage | Velvet Liquid Lipstick,Lip Kits,$16.00,4.8 star rating,88 Reviews
Boy Bye | Velvet Liquid Lipstick,Lip Kits,$16.00,4.8 star rating,257 Reviews
Goals | Velvet Liquid Lipstick,Lip Kits,$16.00,4.8 star rating,93 Reviews
Surprise Me | Velvet Liquid Lipstick,Lip Kits,$16.00,4.9 star rating,49 Reviews
Birthday Suit | Velvet Liquid Lipstick,Lip Kits,$16.00,4.4 star rating,87 Reviews
Commando | Velvet Liquid Lipstick,Lip Kits,$16.00,4.6 star rating,123 Reviews
Autumn | Matte Lip Kit,Lip Kits,$29.00,4.8 star rating,438 Reviews
Doll | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,64 Reviews
Sugar Plum | Gloss,Lip Kits,$15.00,4.6 star rating,177 Reviews
Poppin' | Gloss,Lip Kits,$15.00,4.6 star rating,46 Reviews
Cupid | Gloss,Lip Kits,$15.00,4.6 star rating,121 Reviews
Leo | Matte Liquid Lipstick,Lip Kits,$17.00,4.6 star rating,114 Reviews
High Maintenance | Matte Lip Kit,Lip Kits,"$17.40
$29.00",4.6 star rating,165 Reviews
Boujee | Matte Lip Kit,Lip Kits,"$15.00
$29.00",4.6 star rating,274 Reviews
Rosie | Velvet Lip Kit,Lip Kits,"$10.00
$27.00",4.6 star rating,128 Reviews
Harmony | Velvet Lip Kit,Lip Kits,$27.00,4.4 star rating,144 Reviews
Charm | Velvet Lip Kit,Lip Kits,$27.00,4.4 star rating,185 Reviews
Okurrr | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,114 Reviews
Head Over Heels | Matte Lip Kit,Lip Kits,"$15.00
$29.00",4.8 star rating,133 Reviews
Maliboo | Matte Liquid Lipstick,Lip Kits,$17.00,4.7 star rating,124 Reviews
Love Bite | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,78 Reviews
Kristen | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,114 Reviews
Ginger | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,155 Reviews
Dirty Peach | Matte Liquid Lipstick,Lip Kits,$17.00,4.5 star rating,39 Reviews
Brown Sugar | Matte Liquid Lipstick,Lip Kits,$17.00,4.7 star rating,79 Reviews
Leo | Matte Lip Kit,Lip Kits,$29.00,4.7 star rating,140 Reviews
Brown Sugar | Matte Lip Kit,Lip Kits,$29.00,4.7 star rating,130 Reviews
Dirty Peach | Matte Lip Kit,Lip Kits,"$15.00
$29.00",4.4 star rating,78 Reviews
